method,status,raw_matches,inliers,inlier_ratio,coverage,residual_median,residual_rmse,residual_p90,residual_p95,residual_max,gradient_ncc_before,gradient_ncc_after,verification_magnitude,verification_confidence,match_runtime_sec,total_runtime_sec,error
phase,TOO_FEW_INLIERS,1,0,0.0,0.0,nan,nan,nan,nan,nan,0.045272137708321794,0.045272137708321794,53.71219600798314,0.1520831454182855,2.6703814000065904,501.2428962999984,
sift,OK,176,66,0.375,0.328125,1.1900872369638356,1.2152062853765557,1.7142912482616288,1.834702901199823,2.044577901493306,0.045272137708321794,0.149654352184401,1.4142135623730951,0.1633721700741456,1.2039550000044983,467.76186480000615,
